CustomerID,TotalSpent,TotalTransactions,TotalQuantity,AverageOrderValue,AverageDiscount,Recency,FutureTransactions,Churn
14,256.2327913,1,5,256.2327913,15.50404977,175,0.0,1
42,502.6565234,1,7,502.6565234,19.19109003,254,0.0,1
49,21.39904723,1,1,21.39904723,14.92337719,237,0.0,1
59,139.6120364,1,4,139.6120364,6.736390478,162,1.0,0
65,548.0066252,1,8,548.0066252,8.319811024,224,0.0,1
87,41.51590547,1,2,41.51590547,6.683224263,160,0.0,1
98,166.9346467,1,6,166.9346467,0.384102703,39,0.0,1
100,710.0625762,1,8,710.0625762,2.601888637,260,0.0,1
101,364.9742948,1,9,364.9742948,6.982694996,181,0.0,1
165,181.9839348,1,4,181.9839348,14.66354515,250,0.0,1
211,293.0965945,1,5,293.0965945,15.15893428,154,0.0,1
213,340.4794469,1,4,340.4794469,0.546477232,216,0.0,1
223,155.7043112,1,6,155.7043112,14.53961197,205,0.0,1
227,348.2460943,1,8,348.2460943,17.96802165,188,0.0,1
230,242.1020243,1,4,242.1020243,16.8506241,202,0.0,1
232,102.9488437,1,4,102.9488437,7.829376812,147,0.0,1
238,40.39517637,1,4,40.39517637,13.24741338,243,0.0,1
243,280.9307299,1,6,280.9307299,4.195269683,163,0.0,1
280,88.62820957,1,3,88.62820957,17.0617098,41,0.0,1
284,241.7435562,1,4,241.7435562,10.83324179,153,0.0,1
290,301.86574,1,8,301.86574,10.84342604,259,0.0,1
297,520.5968056,1,8,520.5968056,18.6790496,164,0.0,1
299,606.6971235999999,2,11,303.34856179999997,9.520321658,22,0.0,1
306,267.665442,1,3,267.665442,5.26191846,262,0.0,1
315,137.1832086,1,4,137.1832086,14.96361952,163,0.0,1
319,347.5441797,1,5,347.5441797,13.98665731,53,0.0,1
327,676.4390942,1,8,676.4390942,9.028725999,38,0.0,1
345,392.8392331,1,9,392.8392331,0.952482937,56,0.0,1
352,176.7430055,1,5,176.7430055,16.50469101,5,0.0,1
360,307.6017959,1,8,307.6017959,2.175960472,142,0.0,1
382,69.62103281,1,3,69.62103281,12.24045112,77,0.0,1
402,48.18508029,1,1,48.18508029,16.6776475,43,0.0,1
415,66.12504916,1,3,66.12504916,6.012042017,108,0.0,1
417,65.51688989,1,3,65.51688989,14.23009402,127,0.0,1
442,408.1609442,1,6,408.1609442,16.01804956,151,1.0,0
474,288.8941216,1,6,288.8941216,3.910047441,93,0.0,1
475,554.7768083,1,6,554.7768083,7.303531067,69,0.0,1
514,285.4230248,1,5,285.4230248,17.61986238,172,0.0,1
520,249.873012,1,8,249.873012,16.12400314,178,0.0,1
527,185.9614176,1,6,185.9614176,14.56275981,259,0.0,1
534,342.3247791,1,7,342.3247791,19.48457291,15,0.0,1
559,34.09503496,1,1,34.09503496,4.040238268,188,0.0,1
580,156.3773577,1,3,156.3773577,7.897162713,163,0.0,1
587,40.97817374,1,1,40.97817374,10.30124026,135,0.0,1
592,571.7079867,1,7,571.7079867,13.60206851,158,0.0,1
610,109.4544639,1,8,109.4544639,12.49871111,23,0.0,1
614,557.7748966,1,8,557.7748966,9.051453675,141,0.0,1
631,166.9333804,1,6,166.9333804,19.14748311,32,0.0,1
651,68.77268255,1,8,68.77268255,19.50648977,247,0.0,1
670,112.7046451,1,4,112.7046451,6.85750565,252,0.0,1
693,122.9336987,1,4,122.9336987,0.04209678,182,0.0,1
708,69.60258911,1,3,69.60258911,18.65431488,75,0.0,1
709,416.5401857,1,6,416.5401857,11.26738382,143,0.0,1
712,149.072887,1,4,149.072887,14.42700195,148,0.0,1
730,185.9620483,1,3,185.9620483,3.493585882,153,0.0,1
736,151.0488534,1,3,151.0488534,12.23429695,185,0.0,1
737,266.8924833,1,8,266.8924833,14.63656779,156,0.0,1
744,239.6018409,1,4,239.6018409,14.11574095,53,0.0,1
762,393.2318981,1,9,393.2318981,14.87638805,258,0.0,1
779,86.14907415,1,1,86.14907415,11.45892872,10,0.0,1
780,224.5551909,1,3,224.5551909,1.883834942,189,0.0,1
805,142.4159538,1,9,142.4159538,9.334017434,228,0.0,1
845,495.9229396,1,8,495.9229396,18.45456327,100,0.0,1
847,155.268144,1,2,155.268144,8.247873065,114,0.0,1
902,94.7314108,1,3,94.7314108,1.279689405,233,0.0,1
904,59.66523162,1,1,59.66523162,8.047064803,186,0.0,1
905,160.9693717,1,5,160.9693717,13.9014451,54,0.0,1
907,415.958306,1,5,415.958306,14.94426544,21,0.0,1
926,248.04097,1,5,248.04097,10.35807574,62,0.0,1
948,29.74638352,1,3,29.74638352,7.529236657,230,0.0,1
959,1176.3474024,2,14,588.1737012,8.52653106,177,0.0,1
960,247.7994053,1,4,247.7994053,5.512646411,69,0.0,1
966,292.8664938,1,6,292.8664938,17.4188139,122,0.0,1
969,107.6493372,1,9,107.6493372,5.233448469,220,0.0,1
975,242.2662475,2,10,121.13312375,17.36175709,60,0.0,1
976,315.7386757,1,8,315.7386757,11.72876946,262,0.0,1
994,104.049533,1,2,104.049533,3.886519732,63,0.0,1
1026,73.20205033,1,1,73.20205033,19.27172239,191,0.0,1
1041,635.7750028,1,8,635.7750028,9.915836691,214,0.0,1
1052,78.76129242,1,9,78.76129242,12.70489742,240,0.0,1
1064,559.7307801,1,9,559.7307801,0.959696098,84,0.0,1
1072,215.6081748,1,4,215.6081748,0.095717069,64,0.0,1
1084,363.0288532,1,4,363.0288532,5.567566313,224,0.0,1
1090,101.0351008,1,2,101.0351008,13.49649629,111,0.0,1
1100,295.647738,1,8,295.647738,0.062134245,0,0.0,1
1101,16.04248262,1,1,16.04248262,5.846498858,17,0.0,1
1105,115.8996947,1,7,115.8996947,5.557597022,87,0.0,1
1148,82.01862836,1,5,82.01862836,16.781694,29,0.0,1
1154,92.03442694,1,2,92.03442694,14.45399939,134,0.0,1
1163,12.33897937,1,1,12.33897937,4.255312466,11,0.0,1
1164,450.346651,1,6,450.346651,18.28418214,87,0.0,1
1188,150.750972,1,6,150.750972,10.80341826,28,0.0,1
1195,167.9598365,1,4,167.9598365,4.274109252,232,0.0,1
1201,26.60895867,1,1,26.60895867,19.30126584,195,0.0,1
1206,243.643317,1,9,243.643317,11.89198389,64,0.0,1
1207,578.2927831,1,8,578.2927831,9.592338043,72,0.0,1
1208,147.829605,1,2,147.829605,5.817805382,39,0.0,1
1226,128.7932702,1,4,128.7932702,9.348995351,43,0.0,1
1236,296.329184,1,5,296.329184,2.09086768,115,0.0,1
1255,66.47699225,1,1,66.47699225,19.19305016,97,0.0,1
1296,106.4183652,1,8,106.4183652,8.89271062,5,0.0,1
1309,81.32777936,1,6,81.32777936,5.883392235,187,0.0,1
1319,61.96382407,1,3,61.96382407,6.898084724,183,0.0,1
1327,273.5491913,1,6,273.5491913,8.344000343,95,0.0,1
1359,229.3873143,1,5,229.3873143,6.291009807,272,0.0,1
1371,717.9217726,1,9,717.9217726,12.96771283,8,0.0,1
1375,119.7823451,1,4,119.7823451,16.45042811,186,0.0,1
1377,307.6840722,1,9,307.6840722,1.23162985,204,0.0,1
1419,771.2293376,1,9,771.2293376,10.53154166,65,0.0,1
1420,322.2443165,1,9,322.2443165,9.877778502,76,0.0,1
1427,353.1938183,1,6,353.1938183,9.579358408,227,0.0,1
1442,367.7804799,1,6,367.7804799,2.837553066,232,0.0,1
1465,465.9375554,1,9,465.9375554,16.39419636,135,0.0,1
1476,91.71012297,1,4,91.71012297,17.09243952,230,0.0,1
1485,83.18569843,1,1,83.18569843,3.315985101,223,0.0,1
