id,quantity,productId
01dea073-cb81-4128-a193-a3cc29fa4d4c,19,2fb74e8b-3081-46bb-a3d4-d8d6d5542339
634bd9f0-ef63-4675-80f3-8f724c269012,31,1532fdad-34dd-44e8-bf00-5d46b8553031
6bdaeed0-3ac0-43b8-9551-d04a7b1c6847,246,4717dd53-6957-4330-adb8-99c5a107009c
639f5c47-da4f-4aa3-8ed8-6a45409ce755,207,debb8c7a-6244-4cd1-ae3b-e29768b8bba6
98c743e9-39ee-49c5-b78d-b15b4417d622,76,f2c1c345-97fb-47ec-aac9-bf43751b5611
853f7b11-2d93-416b-b928-e75da1b69894,317,102c5890-8343-4d06-83aa-85aa083fcb3a
ff5bddab-aae4-4f96-a479-23b063fc5a59,355,0b068848-e6e3-4512-afd8-79a86e90fc0c
7621d2e5-ac05-48ca-b50f-d59a7ae61083,245,e3834508-5c5b-46f9-82ad-cad3541e463d
f4e5ba71-4e18-43a2-9896-8a5cf33a0276,477,41c9e2fd-f4f1-4daa-97d1-f88ff73edbe6
c4c9709b-00b0-4d4d-8f5c-86bd044c0541,104,36a76389-28f6-450c-ac32-c2bd0baea89a
3d0616d1-29bc-42ea-b641-7f7c4c79d3ea,304,378ca511-ef68-42be-95bb-6de82d687754
d3d0cd8b-fc68-4e40-818b-0e3c33250748,473,86c0a582-5125-41e7-aa99-d9cb64fc6c83
b7dd4a05-1843-4a51-a32a-897ad5f0977f,55,c613137d-8b04-4f3f-a921-d07f32d627fb
8328efaf-5646-4430-a94c-3101262db5ba,409,ba1e82aa-8f87-4f66-a357-1608f2f40a79
3407bdee-adce-4dd1-9d50-e30395052115,403,4752156a-92c3-496a-8218-65c756650a5b
66229937-e53b-498a-a04a-3f697a0c4ac1,317,790411d5-cb2c-41cf-ba55-462078b0f714
66d2aaf0-114e-4f7b-8399-6cb23b544ac2,404,74c48d8e-b937-45a1-af87-0f129c8f1118
d4100062-3306-483a-a24c-3df64657d3dd,386,c8ea31f7-1738-4f57-8b4f-1792dfed5538
5b3feddb-46a9-4054-85ad-daa9297d7963,325,9d3f7e1e-907f-4627-bd0a-65da075f1641
985c1e2c-467a-4de8-911c-6fa45bb7388a,498,a69563aa-244d-4ca4-b608-674a60a06115
e1891993-4b36-4590-a85b-9a39e39b11e3,108,84d9c57d-a9b3-48fd-9132-ac1f47643cf2
05644d60-e3f6-4ec2-8dcb-8b567bfd45d1,463,6112bc1a-e8a9-4559-8937-4d0928220f79
308405af-73bc-4820-942a-2a8557393385,477,a71b3f42-0d4c-42ca-8de6-17b15c622f0b
9e7c6f86-4b2a-4f9d-a790-bc429f00eab2,427,42769f76-9da6-4969-8ac4-ac4a97c98ab8
b614b27f-3bef-465b-b5d8-e4ae963aef73,20,8f8bf85f-3295-4dcd-8541-630e7f6066a6
a656a10b-5a43-4513-8acb-6f89b692ca22,208,7f588ef9-a3aa-4f36-89b4-0fd1b7350793
c7f486a0-05eb-4811-8afe-5ae1223f21e8,97,76fb67b1-2cc6-49f5-b5a9-d5fce79493f4
99dc3fc6-cf68-4472-bce0-4c2b0a0c0a27,282,0807de6e-5786-4502-aad5-808e019d8c36
7da99948-871f-47e2-ab54-52824a7c69ea,445,897b6fb6-3e9e-4514-bfe2-659385deb737
4bfcd1f7-a296-4f3b-94e2-c001ec394976,243,79c03ed1-1476-474b-818d-48191e74b069
