id,name,category,price,createdAt
2fb74e8b-3081-46bb-a3d4-d8d6d5542339,Recycled Granite Tuna,Grocery,4884.85,2026-07-07 14:53:17.394
1532fdad-34dd-44e8-bf00-5d46b8553031,Generic Marble Gloves,Tools,3132.85,2026-07-07 14:53:17.394
4717dd53-6957-4330-adb8-99c5a107009c,Intelligent Bronze Tuna,Garden,1784.65,2026-07-07 14:53:17.394
debb8c7a-6244-4cd1-ae3b-e29768b8bba6,Small Marble Towels,Jewelry,1444.55,2026-07-07 14:53:17.394
f2c1c345-97fb-47ec-aac9-bf43751b5611,Electronic Aluminum Cheese,Toys,2043.75,2026-07-07 14:53:17.394
102c5890-8343-4d06-83aa-85aa083fcb3a,Handcrafted Ceramic Car,Jewelry,922.39,2026-07-07 14:53:17.394
0b068848-e6e3-4512-afd8-79a86e90fc0c,Tasty Steel Pants,Sports,4440.59,2026-07-07 14:53:17.394
e3834508-5c5b-46f9-82ad-cad3541e463d,Fresh Ceramic Ball,Tools,3072.25,2026-07-07 14:53:17.394
41c9e2fd-f4f1-4daa-97d1-f88ff73edbe6,Tasty Concrete Salad,Tools,2693.99,2026-07-07 14:53:17.394
36a76389-28f6-450c-ac32-c2bd0baea89a,Soft Aluminum Bacon,Automotive,3083.39,2026-07-07 14:53:17.394
378ca511-ef68-42be-95bb-6de82d687754,Practical Metal Chips,Outdoors,1185.59,2026-07-07 14:53:17.394
86c0a582-5125-41e7-aa99-d9cb64fc6c83,Modern Bamboo Chips,Tools,1514.49,2026-07-07 14:53:17.394
c613137d-8b04-4f3f-a921-d07f32d627fb,Elegant Cotton Hat,Automotive,1281.71,2026-07-07 14:53:17.394
ba1e82aa-8f87-4f66-a357-1608f2f40a79,Ergonomic Steel Shoes,Outdoors,3689.39,2026-07-07 14:53:17.394
4752156a-92c3-496a-8218-65c756650a5b,Tasty Concrete Mouse,Home,1363.39,2026-07-07 14:53:17.394
790411d5-cb2c-41cf-ba55-462078b0f714,Fantastic Plastic Table,Computers,1408.55,2026-07-07 14:53:17.394
74c48d8e-b937-45a1-af87-0f129c8f1118,Tasty Bronze Keyboard,Kids,4656.09,2026-07-07 14:53:17.394
c8ea31f7-1738-4f57-8b4f-1792dfed5538,Refined Wooden Salad,Kids,4679.09,2026-07-07 14:53:17.394
9d3f7e1e-907f-4627-bd0a-65da075f1641,Handmade Gold Keyboard,Computers,234.25,2026-07-07 14:53:17.394
a69563aa-244d-4ca4-b608-674a60a06115,Gorgeous Aluminum Bike,Outdoors,3326.55,2026-07-07 14:53:17.394
84d9c57d-a9b3-48fd-9132-ac1f47643cf2,Handmade Wooden Sausages,Automotive,3301.7,2026-07-07 14:53:17.394
6112bc1a-e8a9-4559-8937-4d0928220f79,Licensed Metal Fish,Movies,964.69,2026-07-07 14:53:17.394
a71b3f42-0d4c-42ca-8de6-17b15c622f0b,Soft Ceramic Cheese,Movies,4696.69,2026-07-07 14:53:17.394
42769f76-9da6-4969-8ac4-ac4a97c98ab8,Bespoke Ceramic Sausages,Automotive,2842.45,2026-07-07 14:53:17.394
8f8bf85f-3295-4dcd-8541-630e7f6066a6,Licensed Bronze Table,Automotive,2081.29,2026-07-07 14:53:17.394
7f588ef9-a3aa-4f36-89b4-0fd1b7350793,Modern Aluminum Towels,Industrial,1241.19,2026-07-07 14:53:17.394
76fb67b1-2cc6-49f5-b5a9-d5fce79493f4,Tasty Rubber Shoes,Sports,464.85,2026-07-07 14:53:17.394
0807de6e-5786-4502-aad5-808e019d8c36,Practical Bamboo Car,Books,4524.65,2026-07-07 14:53:17.394
897b6fb6-3e9e-4514-bfe2-659385deb737,Awesome Rubber Shirt,Garden,3730.69,2026-07-07 14:53:17.394
79c03ed1-1476-474b-818d-48191e74b069,Licensed Bamboo Chips,Industrial,3411.1,2026-07-07 14:53:17.394
